id,name,cuisine_type,price_normal,price_alt,menu_details,includes_dessert,includes_drink,schedule,days_from,days_to,excluded_day,open_time,close_time,phone,website,google_maps_url,google_place_id
1,Kemo,Asian,12.5,,Starter + Main + Drink,False,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34936227430,https://www.kemo.es/,https://maps.app.goo.gl/hKjv4da1bbxRDNpw9,ChIJd1V-d_OipBIRk2tJR6Ilzi8
2,Lady babka,Mediterranean,18.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34931267051,http://ladybabka.es/,https://maps.app.goo.gl/T4R5MNDjj85We6LY6,ChIJiZWAJLmjpBIRr41fGxzzhBU
3,Vabowl,Asian,13.9,,Starter + Dim Sum + Main + Dessert + Drink,True,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34936844115,https://vabowl.com/,https://maps.app.goo.gl/m3PThf6XsgMX2bop6,ChIJy7JDzvGjpBIReD2kIZ5wYvs
4,Kobe,Japanese,15.95,,Starter + Sushi + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34615219121,https://kobebcn.com/,https://maps.app.goo.gl/mVHCBQzfEtr6Yxxa9,ChIJGbZRPZijpBIR83Hd4qrvrnc
5,Via granados,Spanish,17.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:30,Mon,Fri,,13:00,15:30,+34937070621,https://viagranados.com/?utm_source=google&utm_medium=organico&utm_campaign=gbp&utm_id=enlace+web,https://maps.app.goo.gl/ebRcfY59TjvE2e2o6,ChIJIfWp1I-ipBIRhFFsCgHhQ1c
6,La Martina,Catalan,18.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:30,Mon,Fri,,13:00,15:30,+34932853943,http://lamartinadegracia.com/,https://maps.app.goo.gl/aMpqsKGTtA43TG7M6,ChIJoxhPyFSjpBIRtwOMUscSLv4
7,Oishii Remen,Asian,14.5,,Starter + Main + Dessert + Drink,True,True,Tue–Fri 13:00–16:00,Tue,Fri,,13:00,16:00,+34613270042,http://www.oishiiramen.com/,https://maps.app.goo.gl/Kj6jXDp2pp15ktUk6,ChIJSwuRmPqipBIRsPPvzN9uNps
8,Pho Ha Noi,Vietnamese,13.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930101092,http://phohanoibarcelona.com/,https://maps.app.goo.gl/wu4u6HhJiimSg1y69,ChIJ65tSeIyipBIRmnRniTpTLO0
9,Royal Nepal,Nepalese,14.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri (excl. Wed) 13:00–16:00,Mon,Fri,Wed,13:00,16:00,+34931054243,http://www.royalnepalbcn.com/,https://maps.app.goo.gl/pM3dZSoEpLp3DnaK8,ChIJO1iQHsKipBIR2XVDsXqwpBo
10,Mi Tierra,Colombian,13.5,,Starter + Main + Drink,False,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34934407121,https://mytierra.es/,"https://maps.app.goo.gl/BBJzmomZWaVTgCqFA
",ChIJB3aEIfOYpBIRadElqY8lBfw
11,Mi Tierra,Colombian,13.5,,Starter + Main + Drink,False,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34938324148,http://mytierra.es/,https://maps.app.goo.gl/4eYncUBVCGpr5jfo7,ChIJ__8zu4mipBIR3gz6pByh1qQ
12,Can Tresó,Spanish,16.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34938095043,https://cantreso.com/,https://maps.app.goo.gl/gdhQHXbcL4cACHJy8,ChIJnTySwqKipBIR7mChDrE8LaY
13,Balthazar,Mediterranean,14.95,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34932178250,https://andilana.com/locales/balthazar/,https://maps.app.goo.gl/c29vZ5Zu1A3HtLdY6,ChIJH0DTCJCipBIRJDTuMCJ1Hkc
14,Viet Kitchen,Vietnamese,14.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34931090041,https://vietkitchenbcn.com/,https://maps.app.goo.gl/QfzowkwhH3RrtJnd7,ChIJW86eupqipBIRFnFvQTns--Q
15,Pho Viet,Vietnamese,13.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930278661,https://www.instagram.com/pho_viet_barcelona/,https://maps.app.goo.gl/xtoBdb7MoYk9fEkw8,ChIJzav1ORqjpBIRNmmAgGz1MDw
16,Patron Restaurant and Lounge,Spanish,18.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34934146622,https://patronrestaurante.com/carta-de-patron/,https://maps.app.goo.gl/bpfnQJ1DeEmgAgVZ7,ChIJZ9PCF5yipBIR4UARKasX5kE
17,Cuina Panda,Chinese,13.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34938074751,https://www.instagram.com/cuinapanda/,https://maps.app.goo.gl/v6RuNDsTdZfPnDst6,ChIJZTXy9WKipBIRO0boxRcvjXk
18,El Glop Gaudí,Catalan,16.4,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34934870097,https://elglop.com/,https://maps.app.goo.gl/vU1rpWJ99C92LEhYA,ChIJxwZOJVWjpBIRteiF7ny9ZFc
19,Restaurante L'Encant Vegetarià,Vegetarian,14.95,,3 dishes of choice + Dessert + Water,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34932440016,http://www.lencantvegetaria.es/,https://maps.app.goo.gl/yZCUKt5T3GR3gcfr9,ChIJowSUHd-ipBIRpt2RLDbxl6U
20,Last Monkey,Asian,10.9,,Bowl of choice + Drink,False,True,Wed–Fri 13:00–15:30,Wed,Fri,,13:00,15:30,+34935328995,https://www.lastmonkey-bcn.com/,https://maps.app.goo.gl/MGwF81AjkEEXX8Rx6,ChIJNZvQj2GipBIRjaO0ElWtnEI
21,Bar Casi,Catalan,17.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 12:00–15:30,Mon,Fri,,12:00,15:30,+34669295850,https://www.instagram.com/barcasibcn/,https://maps.app.goo.gl/XGbpbJZByCHPPJpy5,ChIJPfDI3bqipBIRjgWxclrllwE
22,El Glop Plaça Catalunya,Catalan,16.4,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34933187575,http://www.elglop.com/,https://maps.app.goo.gl/KBDtUCvPu2456DsV6,ChIJ48XbxfGipBIR5iX1WNlrDWE
23,MOSCADA,Mediterranean,18.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34931018764,https://www.moscadabcn.com/,https://maps.app.goo.gl/iC6w7Ho8Z64egXH57,ChIJbzY6rRWjpBIRNVxSPbboqZA
24,Casa Jaime,Spanish,15.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:30,Mon,Fri,,13:00,15:30,+34931893222,http://www.casajaime.cat/,https://maps.app.goo.gl/Z2GCYCE9Ee8cnst98,ChIJKQBtTYmipBIRJef4Qcuk_Rk
25,DosManos,Mediterranean,14.9,,Starter + Pita + Drink,False,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34937605211,https://www.instagram.com/dosmanos_pitabar/,https://maps.app.goo.gl/MUwQ6se9TUR2Sf6p7?g_st=ac, ChIJ911FNZSipBIRWbFCLWx3fXY
26,kawamura,Ramen,16.4,,Starter + Main (Ramen) + Dessert + Drink,True,True,Mon–Fri (excl. Thu) 13:30–16:00,Mon,Fri,Thu,13:30,16:00,+34930237546,https://www.instagram.com/popular/kawamura-barcelona/,https://maps.app.goo.gl/7vxJLmEGfToi4F6z7?g_st=ac,ChIJsULx642ipBIRvk3v1A8OhYI
27,Hanoi Restaurant,Vietnamese,15.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 12:30–16:00,Mon,Fri,,12:30,16:00,+34934511233,https://www.tripadvisor.com/Restaurant_Review-g187497-d1074510-Reviews-Hanoi-Barcelona_Catalonia.html,https://maps.app.goo.gl/eTZX77LNmSA2ZRSV7?g_st=ac,ChIJsULx642ipBIRjbvvPBntZDc
28,El Provisional,Mediterranean,22.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930151659,http://www.elprovisional.com/,https://maps.app.goo.gl/rZ6brwjNheiG87THA?g_st=ac,ChIJU0arm42ipBIR4smWwYSnhRk
29,Taller de Tapas | Rambla Catalunya,Catalan,16.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34934874842,http://tallerdetapas.com/restaurantes/argenteria/,https://maps.app.goo.gl/HyZoy5jjjKEXp3Z59?g_st=ac,ChIJ1Q6UUI2ipBIR7ZgHITkmI94
30,Asian Ways,Asian,14.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34938324560,https://restaurantasianways.es/,https://maps.app.goo.gl/bHJ3BpR9CNCkVFiQ8?g_st=ac,ChIJp0HT2l2ipBIR_vyA7IWuu94
31,Asian Ways,Asian,14.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri (excl. Tue) 13:00–16:00,Mon,Fri,Tue,13:00,16:00,+34934974431,https://restaurantasianways.es/,https://maps.app.goo.gl/B32ypgH8A3asW6RR8,ChIJmbipzZKjpBIRlrRtzF5h7h0
32,Asian Ways,Asian,14.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34932703467,https://restaurantasianways.es/,https://maps.app.goo.gl/3APPNVNQK5Rxqg5T6,ChIJSRsN-LajpBIR2NRiDoSKEDc
33,Asian Ways,Asian,14.8,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930322948,https://restaurantasianways.es/,https://maps.app.goo.gl/6iz84HR6zStkcqSJ8,ChIJHU9Q4XuZpBIRqhCdkLqAOT8
34,Hanoi Umami,Vietnamese,16.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930076397,https://www.instagram.com/hanoiumami.barcelona/,https://maps.app.goo.gl/ubg4F6xuLCpiWsxe9?g_st=ac,ChIJffVxYgCjpBIReo7DGHyiFOw
35,Kayi Sushi,"Japanese, Sushi",14.9,,5 dishes of choice + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34936227911,http://www.kayisushi.es/,https://maps.app.goo.gl/pMCzw1KBq7ukGn2y8?g_st=ac,ChIJGcJQNwCjpBIRJOq4UbkioO4
36,Messié Sin Gluten Muntaner,Gluten-Free,15.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 12:00–16:00,Mon,Fri,,12:00,16:00,+34938082303,http://www.messiepizza.es/messie-pizza-sin-gluten/,https://maps.app.goo.gl/vb9XBpoUB2uEo1416?g_st=ac,ChIJu_Zhho-ipBIRWGFXjskdtPY
37,Le Romane,Italian,14.5,,Starter + Main + Dessert + Drink,True,True,Mon–Thu 13:00–15:30,Mon,Thu,,13:00,15:30,+34937069803,http://www.leromane.com/,https://maps.app.goo.gl/3eXKgoYrmdMmSgNH6?g_st=ac,ChIJNzTNpo-ipBIRO8i0UZsVyzs
38,Bodega Borràs,Spanish,19.9,,Starter + Main + Dessert + Drink,True,True,Mon–Thu 13:00–15:30,Mon,Thu,,13:00,15:30,+34936042669,https://bodegaborras.com/en/,https://maps.app.goo.gl/V8fomp9S41Km7rj26?g_st=ac,ChIJX1Ja4xyjpBIRmL-rZufI7-I
39,Pampa Grill Asador Argentino,Argentinian,20.0,,Starter + Appetizer + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930044946,https://www.instagram.com/pampagrill.bcn/,https://maps.app.goo.gl/vaxATWTXz1k35rPf8?g_st=ac,ChIJA3y6k4OjpBIRZPPp8EkXH-o
40,Florida Grill,"Spanish, Grill",18.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34933257039,https://florida.cat/,https://maps.app.goo.gl/DzmiMedCvFZJbSUt6?g_st=ac,ChIJZYbL5BOjpBIRKZTgjYOY-LU
41,Sol Argentini,Argentinian,14.5,,Starter + Main + Dessert + Drink,True,True,Wed–Fri 13:00–16:00,Wed,Fri,,13:00,16:00,+34935251411,https://www.instagram.com/solargentino.bcn/,https://maps.app.goo.gl/nZ5HHqkMeFXZg7ME7,ChIJKc1NhRyjpBIRf2Z5AtAroQM
42,Shanti Restaurant,Indian,15.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:00,Mon,Fri,,13:00,15:00,+34932051985,https://www.shanti.es/,https://maps.app.goo.gl/GsXsw5a7e3kyeCxn6?g_st=ac,ChIJAZLwTWWYpBIRYlgiaEFiI4U
43,Collonut | Gelabert,Catalan,15.5,,Starter + Main + Dessert + Drink,True,True,Mon–Thu 13:00–16:00,Mon,Thu,,13:00,16:00,+34930384403,https://www.collonut.com/,https://maps.app.goo.gl/Wyis1EpeY312WMxJ9?g_st=ac,ChIJ51AzRzmZpBIRxwKMCKjWORo
44,El Casal Café Bar,Oyster Restaurant,14.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34932684004,https://www.elcasalcafe.es/,https://maps.app.goo.gl/X5LVRojoC4Azgab86?g_st=ac,ChIJwVsjHf-ipBIRDiGdeunEFX0
45,Elisabets,Spanish,16.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:45,Mon,Fri,,13:00,15:45,+34933175826,https://www.instagram.com/elisabets1962/,https://maps.app.goo.gl/uXwkLZaST9hYxokf6?g_st=ac,ChIJCWo2LvSipBIRTvKXpqi4N38
46,El Sentit,Mediterranean,15.9,,Starter + Main + Dessert + Drink,True,True,Tue–Fri 13:00–16:00,Tue,Fri,,13:00,16:00,+34936012979,https://www.restaurantelsentit.es/,https://maps.app.goo.gl/uN1mkoLXokW4XTfa9,ChIJh81fEZGYpBIR6T43kQTrns0
47,Brasas el Pera,Catalan,13.95,,Starter + Main + Dessert + Drink,True,True,Tue–Fri 13:00–16:00,Tue,Fri,,13:00,16:00,+34631718760,https://www.instagram.com/brasaselpera/,https://maps.app.goo.gl/f64txFvztyFpzpB17,ChIJq5j_z4GYpBIRWQKHa9Bkays
48,Perú En Tu Mesa,Peruvian,15.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34670549504,https://www.peruentumesa.es/,https://maps.app.goo.gl/P4rL5TGHLWjCSEPcA,ChIJgZxbzniipBIRvEiy8N---7A
49,Donde Siempre Restaurantes,Venezuelan,15.5,,Starter + Main + Dessert + Drink,True,True,Tue–Fri 12:00–16:00,Tue,Fri,,12:00,16:00,+34931377010,https://lunexio.com/olp/ES/12288_2step_2/index.php?sub5=d6tt3m1ipanc739e3a4g&sub1=84&sub2=2018&sub4=ES&sub3=17506&lp_key=17739603c43fb8eaed9dfcc612fb39fd5dd5916932,https://maps.app.goo.gl/VvNFMQJPvL5vkdK69,ChIJlTYJq3iipBIRJ1VSSuXu1v4
50,La Nova Farga,Catalan,14.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:30,Mon,Fri,,13:00,15:30,+34600592909,https://www.instagram.com/lanovafarga?igsh=MWI2MXp4dDY0OHoybw==,https://maps.app.goo.gl/kiidGRpy7Kyt2tSG6,ChIJ-7Su64SYpBIRT0sQO35Y8Lg
51,Corea Street Food,Korean,15.0,,Starter + Main + Drink,False,True,Mon–Fri 13:30–17:00,Mon,Fri,,13:30,17:00,+34659810850,https://www.instagram.com/coreastreetfood.bcn?igsh=OXg5cHF0eWE3dXVz,https://maps.app.goo.gl/5u7MdbBW9RvPzU7c6,ChIJP9BKJOKZpBIRK9tTnUj73Tg
52,Can Coca,Catalan,16.4,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34934217727,https://www.instagram.com/cancocarestaurant/,https://maps.app.goo.gl/JauMor858Yo19WTH6,ChIJF5uciY-YpBIRSQ1qeqxUuQE
53,La Piazzetta GranVia,Italian,17.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34930079608,https://www.instagram.com/lapiazzettagranvia/,https://maps.app.goo.gl/uWbXo92xtaKmyc1n7?g_st=ac,ChIJRfgEqouipBIRfsPcqi0_8Do
54,El Farolito L'H,"Catalan, Meat",13.5,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34935289200,https://elfarolito.eatbu.com/?lang=es,https://maps.app.goo.gl/HYNZ58P48AwiBvwo8,ChIJgeaJD5SYpBIRWn1aT_nGZYY
55,A fuego lento,"Mediterranean, Grill",14.9,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–16:00,Mon,Fri,,13:00,16:00,+34936470515,https://www.restauranteafuegolento.es/,https://maps.app.goo.gl/GikAiXquDewCaBHL7,ChIJ4_-HR8ejpBIR44jprjCq0bc
56,Ristorante Meraviglioso,Italian,14.0,,Starter + Main + Dessert + Drink,True,True,Mon–Fri 13:00–15:15,Mon,Fri,,13:00,15:15,+34646710705,http://www.ristorantemeraviglioso.com/,https://maps.app.goo.gl/JKhhRYBupPNbcQCW7,ChIJgUxix3-ipBIRdTAkivBCBgQ
